servicio,fecha,usuario,calificacion
3698,54:36.6,0,4
981,54:36.6,0,3
1791,54:36.6,0,2
1113,54:36.6,0,2
1319,54:36.6,0,1
3909,54:36.6,0,3
5170,54:36.6,0,2
797,54:36.6,0,3
390,54:36.6,0,5
5595,54:36.6,0,5
1300,54:36.6,0,4
3321,54:36.6,0,5
1733,54:36.6,0,4
2231,54:36.6,0,2
5018,54:36.6,0,2
1544,54:36.6,0,5
4411,54:36.6,0,1
5754,54:36.6,0,2
3087,54:36.6,0,5
4251,54:36.6,0,1
2158,54:36.6,1,3
4494,54:36.6,1,5
2767,54:36.6,1,5
1100,54:36.6,1,2
4848,54:36.6,1,3
695,54:36.6,1,1
4475,54:36.6,1,5
2206,54:36.6,1,5
4438,54:36.6,1,2
1509,54:36.6,1,1
19,54:36.6,1,5
364,54:36.6,1,5
959,54:36.6,1,1
3659,54:36.6,1,3
134,54:36.6,1,4
970,54:36.6,1,5
1749,54:36.6,1,3
453,54:36.6,1,1
3424,54:36.6,1,2
4082,54:36.6,1,1
1901,54:36.6,2,4
4397,54:36.6,2,3
258,54:36.6,2,1
4817,54:36.6,2,5
3280,54:36.6,2,2
381,54:36.6,2,2
4034,54:36.6,2,5
4496,54:36.6,2,4
3043,54:36.6,2,1
5357,54:36.6,2,2
2422,54:36.6,2,3
4426,54:36.6,2,4
342,54:36.6,2,1
4644,54:36.6,2,3
700,54:36.6,2,2
2888,54:36.6,2,5
3963,54:36.6,2,2
261,54:36.6,2,5
2211,54:36.6,2,5
2588,54:36.6,2,4
4416,54:36.6,3,1
226,54:36.6,3,4
4943,54:36.6,3,3
1090,54:36.6,3,4
3306,54:36.6,3,5
3596,54:36.6,3,4
4488,54:36.6,3,3
228,54:36.6,3,2
1646,54:36.6,3,4
3363,54:36.6,3,1
3373,54:36.6,3,2
1719,54:36.6,3,4
4819,54:36.6,3,4
4496,54:36.6,3,4
2808,54:36.6,3,2
5170,54:36.6,3,5
3920,54:36.6,3,4
3037,54:36.6,3,4
362,54:36.6,3,2
2748,54:36.6,3,3
1068,54:36.6,4,3
4783,54:36.6,4,1
4087,54:36.6,4,2
3859,54:36.6,4,4
3411,54:36.6,4,2
3720,54:36.6,4,3
4832,54:36.6,4,3
3530,54:36.6,4,2
2613,54:36.6,4,1
4850,54:36.6,4,1
3123,54:36.6,4,3
578,54:36.7,4,4
782,54:36.7,4,5
5386,54:36.7,4,3
5525,54:36.7,4,2
4372,54:36.7,4,5
3682,54:36.7,4,4
3435,54:36.7,4,2
168,54:36.7,4,5
3454,54:36.7,4,1
1409,54:36.7,5,5
2352,54:36.7,5,3
5756,54:36.7,5,5
4987,54:36.7,5,2
3900,54:36.7,5,4
392,54:36.7,5,3
3199,54:36.7,5,2
3853,54:36.7,5,1
2739,54:36.7,5,5
2546,54:36.7,5,2
4359,54:36.7,5,5
821,54:36.7,5,1
2867,54:36.7,5,5
1192,54:36.7,5,4
5389,54:36.7,5,5
548,54:36.7,5,5
1328,54:36.7,5,3
2822,54:36.7,5,5
2484,54:36.7,5,2
125,54:36.7,5,3
4742,54:36.7,6,5
5726,54:36.7,6,1
637,54:36.7,6,1
1151,54:36.7,6,2
5179,54:36.7,6,1
1251,54:36.7,6,5
284,54:36.7,6,4
1676,54:36.7,6,4
5012,54:36.7,6,2
991,54:36.7,6,5
1682,54:36.7,6,1
4918,54:36.7,6,4
3263,54:36.7,6,3
5086,54:36.7,6,1
158,54:36.7,6,4
2450,54:36.7,6,4
3824,54:36.7,6,3
2749,54:36.7,6,3
1215,54:36.7,6,5
3134,54:36.7,6,4
4424,54:36.7,7,4
1899,54:36.7,7,5
5641,54:36.7,7,5
2791,54:36.7,7,5
5811,54:36.7,7,5
4694,54:36.7,7,2
1557,54:36.7,7,3
5634,54:36.7,7,2
1095,54:36.7,7,2
2766,54:36.7,7,3
3371,54:36.7,7,3
5451,54:36.7,7,1
5812,54:36.7,7,3
63,54:36.7,7,5
5419,54:36.7,7,2
806,54:36.7,7,3
4884,54:36.7,7,4
4578,54:36.7,7,5
1509,54:36.7,7,3
741,54:36.7,7,4
5759,54:36.7,8,1
2587,54:36.7,8,5
5505,54:36.7,8,1
2762,54:36.7,8,5
471,54:36.7,8,2
1917,54:36.7,8,4
2873,54:36.7,8,2
4158,54:36.7,8,2
222,54:36.7,8,3
3078,54:36.7,8,1
5037,54:36.7,8,4
4334,54:36.7,8,1
1918,54:36.7,8,5
3903,54:36.7,8,5
1645,54:36.7,8,4
2516,54:36.7,8,1
2489,54:36.7,8,5
5450,54:36.7,8,1
3110,54:36.7,8,1
109,54:36.7,8,1
4167,54:36.7,9,2
3599,54:36.7,9,4
2336,54:36.7,9,3
3930,54:36.7,9,5
917,54:36.7,9,4
2097,54:36.7,9,1
