id,servicio,fecha,usuario,calificacion
0,3698,54:36.6,0,4
1,981,54:36.6,0,3
2,1791,54:36.6,0,2
3,1113,54:36.6,0,2
4,1319,54:36.6,0,1
5,3909,54:36.6,0,3
6,5170,54:36.6,0,2
7,797,54:36.6,0,3
8,390,54:36.6,0,5
9,5595,54:36.6,0,5
10,1300,54:36.6,0,4
11,3321,54:36.6,0,5
12,1733,54:36.6,0,4
13,2231,54:36.6,0,2
14,5018,54:36.6,0,2
15,1544,54:36.6,0,5
16,4411,54:36.6,0,1
17,5754,54:36.6,0,2
18,3087,54:36.6,0,5
19,4251,54:36.6,0,1
20,2158,54:36.6,1,3
21,4494,54:36.6,1,5
22,2767,54:36.6,1,5
23,1100,54:36.6,1,2
24,4848,54:36.6,1,3
25,695,54:36.6,1,1
26,4475,54:36.6,1,5
27,2206,54:36.6,1,5
28,4438,54:36.6,1,2
29,1509,54:36.6,1,1
30,19,54:36.6,1,5
31,364,54:36.6,1,5
32,959,54:36.6,1,1
33,3659,54:36.6,1,3
34,134,54:36.6,1,4
35,970,54:36.6,1,5
36,1749,54:36.6,1,3
37,453,54:36.6,1,1
38,3424,54:36.6,1,2
39,4082,54:36.6,1,1
40,1901,54:36.6,2,4
41,4397,54:36.6,2,3
42,258,54:36.6,2,1
43,4817,54:36.6,2,5
44,3280,54:36.6,2,2
45,381,54:36.6,2,2
46,4034,54:36.6,2,5
47,4496,54:36.6,2,4
48,3043,54:36.6,2,1
49,5357,54:36.6,2,2
50,2422,54:36.6,2,3
51,4426,54:36.6,2,4
52,342,54:36.6,2,1
53,4644,54:36.6,2,3
54,700,54:36.6,2,2
55,2888,54:36.6,2,5
56,3963,54:36.6,2,2
57,261,54:36.6,2,5
58,2211,54:36.6,2,5
59,2588,54:36.6,2,4
60,4416,54:36.6,3,1
61,226,54:36.6,3,4
62,4943,54:36.6,3,3
63,1090,54:36.6,3,4
64,3306,54:36.6,3,5
65,3596,54:36.6,3,4
66,4488,54:36.6,3,3
67,228,54:36.6,3,2
68,1646,54:36.6,3,4
69,3363,54:36.6,3,1
70,3373,54:36.6,3,2
71,1719,54:36.6,3,4
72,4819,54:36.6,3,4
73,4496,54:36.6,3,4
74,2808,54:36.6,3,2
75,5170,54:36.6,3,5
76,3920,54:36.6,3,4
77,3037,54:36.6,3,4
78,362,54:36.6,3,2
79,2748,54:36.6,3,3
80,1068,54:36.6,4,3
81,4783,54:36.6,4,1
82,4087,54:36.6,4,2
83,3859,54:36.6,4,4
84,3411,54:36.6,4,2
85,3720,54:36.6,4,3
86,4832,54:36.6,4,3
87,3530,54:36.6,4,2
88,2613,54:36.6,4,1
89,4850,54:36.6,4,1
90,3123,54:36.6,4,3
91,578,54:36.7,4,4
92,782,54:36.7,4,5
93,5386,54:36.7,4,3
94,5525,54:36.7,4,2
95,4372,54:36.7,4,5
96,3682,54:36.7,4,4
97,3435,54:36.7,4,2
98,168,54:36.7,4,5
99,3454,54:36.7,4,1
100,1409,54:36.7,5,5
101,2352,54:36.7,5,3
102,5756,54:36.7,5,5
103,4987,54:36.7,5,2
