id,wsdladdress,ipaddress,as
0,http://ewave.no-ip.com/ECallws/CinemaData.asmx?WSDL,8.23.224.110,AS3356 Level 3 Communications
1,http://ewave.no-ip.com/ECallws/StadiumSinchronization.asmx?WSDL,8.23.224.110,AS3356 Level 3 Communications
2,http://ewave.no-ip.com/EcallWS/CinemaSinchronization.asmx?WSDL,8.23.224.110,AS3356 Level 3 Communications
3,http://ewave.no-ip.com/ECallws/StadiumData.asmx?WSDL,8.23.224.110,AS3356 Level 3 Communications
4,http://ewave.no-ip.com/ECallws/BuyerData.asmx?WSDL,8.23.224.110,AS3356  Level 3 Communications
5,http://aquest.dyndns.org/CaptchaAudioWS/CaptchaAudio.asmx?WSDL,204.13.248.116,AS33517 Dynamic Network Services Inc.
6,http://www.utn.edu.ar/WebServices/ListaTics.asmx?WSDL,null,null
7,http://www.utn.edu.ar/WebServices/WSAcademico.asmx?WSDL,null,null
8,http://200.45.113.149/SC.BlackBerryClients.WS/Service.asmx?WSDL,200.45.113.149,AS7303 Telecom Argentina S.A.
9,http://xml.dev.hoteldo.com/HotelDoInterface.asmx?WSDL,200.59.145.167,AS11664 Techtel LMDS Comunicaciones Interactivas S.A.
10,http://www.librosar.com.ar/portal/servicioonix.asmx?WSDL,null,null
11,http://ba.mobilenik.com.ar/dbbrowser/dbbrowser.asmx?WSDL,null,null
12,http://www.mslatam.com/latam/msdn/comunidad/dce/estadistica/webservices/FSD_Statistics_WS.asmx?WSDL,65.55.39.10,AS8075 Microsoft Corp
13,http://www.neodynamic.com/Products/Demos/BCWebSampleWS/BarcodeProfessionalWS.asmx?wsdl,190.2.60.187,AS16814 S.A.
14,http://www.ssat.com.ar/googleearth1.1/service.asmx?wsdl,200.127.117.188,AS10481 Prima S.A.
15,http://www.transportesjoselito.com/atlas/modal/TiempoService.asmx?WSDL,200.58.118.130,AS27823 Dattatec.com
16,http://wsatebara.com.ar/ServicioWeb.asmx?WSDL,190.247.40.16,AS10318 S.A.
17,http://wsluisbal.com.ar/WebService.asmx?WSDL,190.247.40.16,AS10318 S.A.
18,http://www.enterpriseconnect.gov.au/_vti_bin/BusinessDataCatalog.asmx?wsdl,210.193.179.225,AS17477 Macquarie Telecom
19,http://www.enterpriseconnect.gov.au/_vti_bin/People.asmx?wsdl,210.193.179.225,AS17477 Macquarie Telecom
20,http://www.enterpriseconnect.gov.au/_vti_bin/Authentication.asmx?wsdl,210.193.179.225,AS17477 Macquarie Telecom
21,http://www.industry.gov.au/_vti_bin/BusinessDataCatalog.asmx?wsdl,210.193.176.79,AS17477 Macquarie Telecom
22,http://www.industry.gov.au/_vti_bin/People.asmx?wsdl,210.193.176.79,AS17477 Macquarie Telecom
23,http://www.industry.gov.au/_vti_bin/Authentication.asmx?wsdl,210.193.176.79,AS17477 Macquarie Telecom
24,http://www.microsoftsharepoint.com/venue/_vti_bin/SharepointEmailWS.asmx?wsdl,203.19.66.79,AS9268 Over The Wire Pty Ltd
25,http://www.microsoftsharepoint.com/venue/_vti_bin/BusinessDataCatalog.asmx?wsdl,203.19.66.79,AS9268 Over The Wire Pty Ltd
26,http://www.microsoftsharepoint.com/agenda/_vti_bin/Authentication.asmx?wsdl,203.19.66.79,AS9268 Over The Wire Pty Ltd
27,http://www.microsoftsharepoint.com/agenda/_vti_bin/People.asmx?wsdl,203.19.66.79,AS9268 Over The Wire Pty Ltd
28,http://www.tourism.wa.gov.au/WA_Tourism_Network/_vti_bin/UserProfileService.asmx?wsdl,203.153.245.135,AS9822 Amnet IT Services Pty Ltd
29,http://www.tourism.wa.gov.au/WA_Tourism_Network/_vti_bin/Authentication.asmx?wsdl,203.153.245.135,AS9822 Amnet IT Services Pty Ltd
30,http://www.tourism.wa.gov.au/WA_Tourism_Network/_vti_bin/People.asmx?wsdl,203.153.245.135,AS9822 Amnet IT Services Pty Ltd
31,http://www.westernaustralia.com/de/_vti_bin/UserProfileService.asmx?wsdl,203.153.245.134,AS9822 Amnet IT Services Pty Ltd
32,http://www.westernaustralia.com/de/_vti_bin/Authentication.asmx?wsdl,203.153.245.134,AS9822 Amnet IT Services Pty Ltd
33,http://www.westernaustralia.com/de/_vti_bin/People.asmx?wsdl,203.153.245.134,AS9822 Amnet IT Services Pty Ltd
34,http://www.stpatricks.qld.edu.au/_vti_bin/Authentication.asmx?wsdl,110.232.140.115,null
35,http://www.stpatricks.qld.edu.au/_vti_bin/People.asmx?wsdl,110.232.140.115,null
36,http://www.iress.com.au/AutoComplete.asmx?WSDL,203.32.184.246,AS17755 BRIDGEDFS LIMITED
37,http://www.shn.org.au/UserAddModify.asmx?wsdl,203.12.31.159,AS2764 AAPT Limited
38,http://services1.pharmx.com.au/order/supplierlist.asmx?WSDL,203.145.49.232,AS17920 Ultra Serve Internet Pty Ltd - Transit AS - Hosting Provider
39,http://www.abn.business.gov.au/abrxmlpubsub/ABRXMLPubSub.asmx?wsdl,210.193.176.122,AS17477 Macquarie Telecom
40,http://www.crickscore.com/services/Version?wsdl,208.73.211.152,AS33626 Oversee.net
41,http://www.crickscore.com/services/TeamAccess?wsdl,208.73.211.152,AS33626 Oversee.net
42,http://crickscore.com/services/Statistics?wsdl,208.73.211.152,AS33626 Oversee.net
43,http://au.gamecreate.com/admin/ExternalAuthentication.asmx?WSDL,144.140.155.10,AS1221 Telstra Pty Ltd
44,http://api.godo.com.au/soap/v1_00/productManager.cfc?WSDL,202.125.108.41,AS55481 Wotif.com Holdings Limited
45,http://api.godo.com.au/soap/v1_00/product.cfc?WSDL,202.125.108.41,AS55481 Wotif.com Holdings Limited
46,http://api.godo.com.au/soap/v1_00/licenceManager.cfc?WSDL,202.125.108.41,AS55481 Wotif.com Holdings Limited
47,http://api.godo.com.au/soap/v1_00/order.cfc?WSDL,202.125.108.41,AS55481 Wotif.com Holdings Limited
48,http://www.mp3.com.au/WebServices/PlayerService.asmx?WSDL,50.23.104.22,null
49,http://www.mp3.com.au/WebServices/GalleryService.asmx?WSDL,50.23.104.22,null
50,http://www.mp3.com.au/WebServices/MediaGroupService.asmx?WSDL,50.23.104.22,null
51,http://www.mp3.com.au/WebServices/LocationService.asmx?WSDL,50.23.104.22,null
52,http://webservices.seek.com.au/FastLanePlus.asmx?wsdl,202.58.38.95,AS9667 Hostworks Pty Ltd
53,http://webct.swin.edu.au/webct/axis/Version?wsdl,136.186.1.12,AS7575 Australian Academic and Reasearch Network (AARNet)
54,http://soap.bondwireless.com/soap/services/SmsGateway?wsdl,203.56.34.99,AS9822 Amnet IT Services Pty Ltd
55,http://soap.bondwireless.com/soap/services/Enigma?wsdl,203.56.34.99,AS9822 Amnet IT Services Pty Ltd
